Delivered_Energy,Travelled_Distance,Temperature_Exterieure,DriverBehaviour,DriverSex,timestamp
MW.h,km,Deg,DriverBehaviour,DriverSex,timestamp
9.05700081620839,8.738133146835025e-06,11.3,0.2171607905520091,female,2017-11-22 23:00:00
9.05700081620839,0.0,11.2,0.24535736823806864,male,2017-11-23 00:00:00
9.05700081620839,8.738133146835025e-06,10.8,0.06334444369720382,female,2017-11-23 01:00:00
9.05700081620839,0.0,11.3,0.9304906366876564,male,2017-11-23 02:00:00
9.05700081620839,8.738133146835025e-06,11.7,0.032536781573978324,male,2017-11-23 03:00:00
9.05700081620839,0.0,12.2,0.2863512944554034,male,2017-11-23 04:00:00
9.05700081620839,6.038593987199875,12.6,0.7801542376992511,male,2017-11-23 05:00:00
15.033101287700182,10.271411010133304,13.1,0.7724398452438821,female,2017-11-23 06:00:00
15.564602239951457,11.770002213333555,13.5,0.9915011159868994,male,2017-11-23 07:00:00
16.41372520005879,11.57999821012436,13.7,0.3779711315073394,female,2017-11-23 08:00:00
9.444065143559106,7.891006638350517,14.2,0.45805143380837976,male,2017-11-23 09:00:00
18.283840229480905,14.864834400591462,14.5,0.31679517185939254,male,2017-11-23 10:00:00
12.176832269648322,9.923910172800333,14.9,0.4105407198623614,male,2017-11-23 11:00:00
17.21351889740407,11.35983900906649,15.3,0.0937163130975407,female,2017-11-23 12:00:00
19.99761303280556,11.320403191466541,14.9,0.6266161272991634,male,2017-11-23 13:00:00
19.99761303280556,8.738133601582376e-06,14.5,0.7044069574546489,male,2017-11-23 14:00:00
19.99761303280556,0.0,14.0,0.3973193993604508,male,2017-11-23 15:00:00
19.99761303280556,0.0,13.5,0.46176682577288986,male,2017-11-23 16:00:00
19.99761303280556,0.0,13.2,0.5411590560326233,male,2017-11-23 17:00:00
19.99761303280556,8.738133601582376e-06,12.9,0.6135581211439625,male,2017-11-23 18:00:00
19.99761303280556,0.0,12.6,0.26808939584496727,male,2017-11-23 19:00:00
19.99761303280556,0.0,12.3,0.046082692648391155,male,2017-11-23 20:00:00
19.99761303280556,0.0,12.4,0.005633002261396736,male,2017-11-23 21:00:00
19.99761303280556,0.0,12.3,0.6399734052963328,male,2017-11-23 22:00:00
19.99761303280556,0.0,12.8,0.371666073773846,female,2017-11-23 23:00:00
19.99761303280556,0.0,12.8,0.3043500016573958,male,2017-11-24 00:00:00
19.99761303280556,8.738133601582376e-06,12.5,0.0785864636427237,male,2017-11-24 01:00:00
19.99761303280556,0.0,12.0,0.1713668326135055,male,2017-11-24 02:00:00
19.99761303280556,0.0,12.0,0.2779898890931881,male,2017-11-24 03:00:00
19.99761303280556,0.0,12.1,0.5871525672199972,male,2017-11-24 04:00:00
19.99761303280556,5.697674463606291,12.2,0.9352583846308471,male,2017-11-24 05:00:00
15.800649797156343,10.592331175860638,11.8,0.6885237944269622,female,2017-11-24 06:00:00
15.255264293309104,11.790001571199355,11.1,0.5288516741611278,male,2017-11-24 07:00:00
17.256617220995455,11.619999889109751,11.1,0.661116062183342,male,2017-11-24 08:00:00
6.828653251504512,9.295002113024566,10.3,0.17594815722951973,male,2017-11-24 09:00:00
18.28292366598717,12.868000307842522,10.6,0.9756559251009814,female,2017-11-24 10:00:00
14.571943475935335,10.180418273490432,10.6,0.7885490807886639,female,2017-11-24 11:00:00
17.047540584637805,10.205074378191057,10.8,0.5340798081907228,male,2017-11-24 12:00:00
19.57225646041234,12.811504114609308,10.7,0.9750138350528339,male,2017-11-24 13:00:00
19.57225646041234,0.0,11.1,0.4123604908527452,female,2017-11-24 14:00:00
19.57225646041234,8.738133146835025e-06,10.8,0.27594066567695574,male,2017-11-24 15:00:00
19.57225646041234,0.0,9.7,0.7857189377295598,male,2017-11-24 16:00:00
19.57225646041234,7.358294169534929e-07,9.4,0.6212660704120841,male,2017-11-24 17:00:00
19.57225646041234,0.0,9.2,0.26813722069292667,male,2017-11-24 18:00:00
19.57225646041234,0.0,9.5,0.9924970374968868,female,2017-11-24 19:00:00
19.57225646041234,0.0,8.9,0.20873746548720595,female,2017-11-24 20:00:00
19.57225646041234,0.0,8.8,0.8272638482385829,male,2017-11-24 21:00:00
19.57225646041234,0.0,8.8,0.8854000567540976,female,2017-11-24 22:00:00
19.57225646041234,7.136288331821561e-06,8.7,0.36990925444368883,female,2017-11-24 23:00:00
19.57225646041234,0.0,8.4,0.7354276092036337,male,2017-11-25 00:00:00
19.57225646041234,0.0,7.6,0.9394277752934496,female,2017-11-25 01:00:00
19.57225646041234,0.0,6.8,0.2996266624833681,male,2017-11-25 02:00:00
19.57225646041234,0.0,6.0,0.7251294213795744,male,2017-11-25 03:00:00
19.57225646041234,0.0,4.0,0.2267988115221764,male,2017-11-25 04:00:00
19.57225646041234,0.0,5.7,0.5008793207587967,male,2017-11-25 05:00:00
19.57225646041234,7.136288331821561e-06,5.6,0.25405622619731694,female,2017-11-25 06:00:00
